country,year,predicted_value,metric
Belarus,2034,12065080.350769281,forest_loss
Belarus,2035,12445711.744615436,forest_loss
Belarus,2036,12826343.13846159,forest_loss
Belarus,2037,13206974.532307744,forest_loss
Belarus,2038,13587605.926153898,forest_loss
Belarus,2039,13968237.320000052,forest_loss
Belarus,2040,14348868.713846207,forest_loss
Belarus,2041,14729500.10769236,forest_loss
Belarus,2042,15110131.501538515,forest_loss
Belarus,2043,15490762.89538467,forest_loss
Belarus,2044,15871394.289230824,forest_loss
Belarus,2045,16252025.683076978,forest_loss
Belgium,2026,1013697.6800000072,forest_loss
Belgium,2027,1055182.3661538512,forest_loss
Belgium,2028,1096667.0523076952,forest_loss
Belgium,2029,1138151.7384615391,forest_loss
Belgium,2030,1179636.4246153831,forest_loss
Belgium,2031,1221121.110769242,forest_loss
Belgium,2032,1262605.796923086,forest_loss
Belgium,2033,1304090.48307693,forest_loss
Belgium,2034,1345575.169230774,forest_loss
Belgium,2035,1387059.855384618,forest_loss
Belgium,2036,1428544.541538462,forest_loss
Belgium,2037,1470029.227692306,forest_loss
Belgium,2038,1511513.913846165,forest_loss
Belgium,2039,1552998.600000009,forest_loss
Belgium,2040,1594483.286153853,forest_loss
Belgium,2041,1635967.972307697,forest_loss
Belgium,2042,1677452.658461541,forest_loss
Belgium,2043,1718937.344615385,forest_loss
Belgium,2044,1760422.030769229,forest_loss
Belgium,2045,1801906.7169230878,forest_loss
Belize,2026,2602071.75,forest_loss
Belize,2027,2710799.9676923156,forest_loss
Belize,2028,2819528.1853846014,forest_loss
Belize,2029,2928256.403076917,forest_loss
Belize,2030,3036984.6207692325,forest_loss
Belize,2031,3145712.838461548,forest_loss
Belize,2032,3254441.056153834,forest_loss
Belize,2033,3363169.2738461494,forest_loss
Belize,2034,3471897.491538465,forest_loss
Belize,2035,3580625.709230751,forest_loss
Belize,2036,3689353.9269230664,forest_loss
Belize,2037,3798082.144615382,forest_loss
Belize,2038,3906810.3623076975,forest_loss
Belize,2039,4015538.5799999833,forest_loss
Belize,2040,4124266.797692299,forest_loss
Belize,2041,4232995.0153846145,forest_loss
Belize,2042,4341723.23307693,forest_loss
Belize,2043,4450451.450769216,forest_loss
Belize,2044,4559179.668461531,forest_loss
Belize,2045,4667907.886153847,forest_loss
Benin,2026,2478571.5399999917,forest_loss
Benin,2027,2580276.027692288,forest_loss
Benin,2028,2681980.5153846145,forest_loss
Benin,2029,2783685.003076911,forest_loss
Benin,2030,2885389.4907692075,forest_loss
Benin,2031,2987093.978461534,forest_loss
Benin,2032,3088798.4661538303,forest_loss
Benin,2033,3190502.953846127,forest_loss
Benin,2034,3292207.441538453,forest_loss
Benin,2035,3393911.9292307496,forest_loss
Benin,2036,3495616.416923076,forest_loss
Benin,2037,3597320.9046153724,forest_loss
Benin,2038,3699025.392307669,forest_loss
Benin,2039,3800729.879999995,forest_loss
Benin,2040,3902434.3676922917,forest_loss
Benin,2041,4004138.8553845882,forest_loss
Benin,2042,4105843.3430769145,forest_loss
Benin,2043,4207547.830769211,forest_loss
Benin,2044,4309252.318461537,forest_loss
Benin,2045,4410956.806153834,forest_loss
Bermuda,2026,64.16000000000076,forest_loss
Bermuda,2027,66.49538461538486,forest_loss
Bermuda,2028,68.83076923076987,forest_loss
